Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","2.2uF","C_0603_1608Metric",123.775000,-29.500000,0.000000,top
"C2","0.1uF","C_0603_1608Metric",123.775000,-32.500000,0.000000,top
"C3","2.2uF","C_0603_1608Metric",119.275000,-26.500000,0.000000,top
"C4","0.1uF","C_0603_1608Metric",89.000000,-40.500000,0.000000,top
"C5","0.1uF","C_0603_1608Metric",106.775000,-34.500000,0.000000,top
"C6","0.1uF","C_0603_1608Metric",104.725000,-44.000000,0.000000,top
"C7","0.1uF","C_0603_1608Metric",95.275000,-29.000000,0.000000,top
"C8","2.2uF","C_0603_1608Metric",101.000000,-46.800000,0.000000,top
"C9","2.2uF","C_0603_1608Metric",101.000000,-49.750000,0.000000,top
"C10","12pF","C_0603_1608Metric",89.000000,-34.500000,0.000000,top
"C11","12pF","C_0603_1608Metric",85.225000,-37.500000,180.000000,top
"C12","0.1uF","C_0603_1608Metric",89.000000,-37.500000,0.000000,top
"D1","LED","LED_0805_2012Metric",111.937500,-22.500000,0.000000,top
"D2","LED","LED_0805_2012Metric",111.937500,-26.500000,0.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",31.000000,-23.000000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",18.000000,-118.000000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",143.000000,-120.000000,0.000000,top
"J4","Conn_01x04","PinSocket_1x04_P2.54mm_Vertical",77.000000,-33.440000,0.000000,top
"J5","Conn_01x08","PinSocket_1x08_P2.54mm_Vertical",24.000000,-28.360000,0.000000,top
"J6","USB_C_Receptacle_USB2.0","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",128.750000,-22.375000,180.000000,top
"R1","5.1k","R_0603_1608Metric",125.675000,-60.000000,0.000000,top
"R2","5.1k","R_0603_1608Metric",125.825000,-63.000000,0.000000,top
"R3","5.1k","R_0603_1608Metric",125.825000,-66.000000,0.000000,top
"R4","5.1k","R_0603_1608Metric",125.825000,-69.000000,0.000000,top
"R5","5.1k","R_0603_1608Metric",131.825000,-32.500000,0.000000,top
"R6","5.1k","R_0603_1608Metric",128.000000,-32.500000,0.000000,top
"R7","10","R_0603_1608Metric",128.000000,-29.500000,0.000000,top
"R8","10","R_0603_1608Metric",131.825000,-29.500000,0.000000,top
"R9","5.1k","R_0603_1608Metric",107.075000,-26.500000,0.000000,top
"R10","330","R_0603_1608Metric",115.550000,-22.500000,0.000000,top
"R11","330","R_0603_1608Metric",115.550000,-26.500000,0.000000,top
"R12","5.1k","R_0603_1608Metric",97.325000,-49.750000,0.000000,top
"SW1","KEY_C","SW_Cherry_MX_1.00u_PCB",33.000000,-60.000000,0.000000,top
"SW2","KEY_D","SW_Cherry_MX_1.00u_PCB",53.000000,-60.000000,0.000000,top
"SW3","KEY_E","SW_Cherry_MX_1.00u_PCB",73.000000,-60.000000,0.000000,top
"SW4","KEY_F","SW_Cherry_MX_1.00u_PCB",93.000000,-60.000000,0.000000,top
"SW5","KEY_CLR","SW_Cherry_MX_1.00u_PCB",113.000000,-60.000000,0.000000,top
"SW7","KEY_8","SW_Cherry_MX_1.00u_PCB",33.000000,-80.000000,0.000000,top
"SW8","KEY_9","SW_Cherry_MX_1.00u_PCB",53.000000,-79.920000,0.000000,top
"SW9","KEY_A","SW_Cherry_MX_1.00u_PCB",73.000000,-79.920000,0.000000,top
"SW10","KEY_B","SW_Cherry_MX_1.00u_PCB",93.000000,-79.920000,0.000000,top
"SW11","KEY_ADDR","SW_Cherry_MX_1.00u_PCB",113.000000,-79.920000,0.000000,top
"SW13","KEY_4","SW_Cherry_MX_1.00u_PCB",33.000000,-100.000000,0.000000,top
"SW14","KEY_5","SW_Cherry_MX_1.00u_PCB",53.000000,-99.920000,0.000000,top
"SW15","KEY_6","SW_Cherry_MX_1.00u_PCB",73.000000,-99.920000,0.000000,top
"SW16","KEY_7","SW_Cherry_MX_1.00u_PCB",93.000000,-99.920000,0.000000,top
"SW17","KEY_STOR","SW_Cherry_MX_1.00u_PCB",113.000000,-99.920000,0.000000,top
"SW18","KEY_STEP","SW_Cherry_MX_1.00u_PCB",133.000000,-99.920000,0.000000,top
"SW19","KEY_0","SW_Cherry_MX_1.00u_PCB",33.000000,-120.000000,0.000000,top
"SW20","KEY_1","SW_Cherry_MX_1.00u_PCB",53.000000,-120.000000,0.000000,top
"SW21","KEY_2","SW_Cherry_MX_1.00u_PCB",73.000000,-120.000000,0.000000,top
"SW22","KEY_3","SW_Cherry_MX_1.00u_PCB",93.000000,-120.000000,0.000000,top
"SW23","KEY_LOAD","SW_Cherry_MX_1.00u_PCB",113.000000,-120.000000,0.000000,top
"SW24","KEY_RUN","SW_Cherry_MX_1.00u_PCB",133.000000,-120.000000,0.000000,top
"SW25","KEY_RST","SW_Cherry_MX_1.00u_PCB",133.000000,-79.920000,0.000000,top
"U1","LP5907MFX-3.3","SOT-23-5",119.450000,-30.862500,90.000000,top
"U3","STM32F411R_C-E_Tx","LQFP-64_10x10mm_P0.5mm",97.750000,-37.825000,0.000000,top
"Y1","25MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",84.600000,-33.600000,180.000000,top
